JC Organization ID,Medicare CCN
7022,360152
7076,360148
7043,360145
7016,360144
7049,360143
7128,360141
7017,360137
6991,360134
7122,360129
6967,360125
5199,360123
6977,360121
7067,360118
7051,360116
7090,360114
6995,360113
7110,360112
4239,360109
6974,360107
4750,360106
7088,360098
7042,360096
7044,360095
7074,360091
7104,360089
7008,360087
7100,360086
7029,360085
6981,360084
7002,360082
7108,360081
2452,360080
7094,360078
7004,360077
7075,360076
475854,360075
3920,360074
7060,360072
7114,360071
6982,360070
7120,360069
7111,360068
7062,360066
7127,360064
3771,360059
7020,360058
4863,360056
7118,360055
7048,360054
7034,360052
7035,360051
7105,360048
7031,360042
7010,360041
7079,360040
265110,360037
7125,360036
7025,360035
6976,360029
6961,360027
6964,360020
4669,360019
6992,360016
6968,360014
7026,360012
7071,360011
7061,360009
4753,360008
7030,360006
6988,360003
6966,360002
6993,360001
229376,354004
3170,354003
303102,350070
8425,350030
8434,350019
8448,350017
8419,350015
8430,350011
8438,350009
8443,350006
8426,350003
8420,350002
3197,344014
1606,344004
3082,344003
1610,344002
6562,340184
6481,340166
2075,340160
4686,340159
6545,340158
6492,340155
6540,340151
6542,340147
6523,340145
6553,340144
6509,340143
6529,340142
6566,340141
6564,340133
6508,340132
6532,340131
4183,340130
6528,340129
2076,340127
6567,340126
6467,340123
6550,340121
6517,340120
6465,340119
6511,340116
6534,340115
6538,340114
6480,340113
6547,340111
6493,340109
6555,340107
6507,340106
6464,340099
6482,340098
3878,340097
6521,340096
6504,340091
6548,340090
6473,340088
6525,340087
6557,340085
3630,340084
6530,340075
6536,340073
6516,340072
6489,340071
4681,340070
6537,340069
6563,340068
4365,340065
6533,340064
6478,340061
6483,340053
6472,340051
4141,340050
6571,340047
6551,340044
6515,340042
6520,340041
6506,340040
6554,340039
6561,340038
6518,340037
6524,340036
6500,340032
6490,340030
6495,340028
4788,340027
4727,340024
6497,340023
4736,340021
6546,340020
6558,340018
2854,340016
6544,340015
6569,340014
6543,340013
6552,340011
6501,340010
3752,340008
6513,340004
6531,340003
6468,340002
6487,340001
3057,334058
1617,334054
1625,334053
3288,334053
1616,334052
1364,334049
3069,334048
1622,334046
1627,334045
3055,334027
1624,334015
1614,334013
1619,334012
1623,334003
3064,334002
1613,334001
5835,330399
5736,330397
5246,330396
5763,330395
5789,330394
5188,330393
2435,330386
5811,330385
2835,330372
5767,330353
5737,330350
5868,330340
5716,330332
5849,330331
5720,330316
4376,330314
5783,330307
5735,330306
5902,330304
5898,330286
5856,330285
2357,330279
3789,330277
5748,330273
5817,330270
57583,330268
5848,330267
5755,330264
2843,330263
5846,330261
5857,330259
3713,330249
5852,330246
5814,330240
5788,330239
